track_name,track_artist
Old Town Road - Remix,Lil Nas X
Why'd You Only Call Me When You're High?,Arctic Monkeys
I Still Haven't Found What I'm Looking For,U2
In Your Eyes (feat. Alida),Robin Schulz
My Number,Foals
2000 Miles - 2007 Remaster,Pretenders
White Rabbit,Jefferson Airplane
Paradise,Khalid
Head In The Clouds,88rising
Loud Places (feat. Romy),Jamie xx
Born To Be Yours,Kygo
Kids,Current Joys
Headlights (feat. Ilsey),Robin Schulz
Guru,Coast Modern
Body on Me,Rita Ora
Carry You Home,James Blunt
The Wire,HAIM
All Into Nothing,R3HAB
Chasing Pirates,Norah Jones
Summers Over Interlude,Drake
Loud Places (feat. Romy),Jamie xx
No One - Kayge Calypso & DUNN Remix,Mothica
I Know What You Want (feat. Flipmode Squad),Busta Rhymes
Georgy Porgy (feat. Faith Evans),Eric Benét
Get Away,The Internet
Waiting,FKJ
Ottolenghi,Loyle Carner
I Wish,Tom Misch
A Forest - Remastered Version,The Cure
Hurts 2B Human (feat. Khalid) - Midnight Kids Remix,P!nk
